"source_path","source_root","extension","size_bytes","proposed_destination","confidence","reason"
"cad/components/frame/zmr250_carbon_fiber_frame/cad/Damper.STEP","cad",".step","87169","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/FPVPlate.STEP","cad",".step","91985","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/Rahmen.STEP","cad",".step","1193807","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/Spacer.STEP","cad",".step","31781","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/cad/TopPlate.STEP","cad",".step","443852","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/dxf/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/dxf/Arm.dxf","cad",".dxf","123921","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/dxf/BottomPlate.dxf","cad",".dxf","89386","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/dxf/CameraPlate.dxf","cad",".dxf","67436","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/dxf/TopPlate.dxf","cad",".dxf","87331","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/renders/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/renders/5.JPG","cad",".jpg","54607","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/renders/6.JPG","cad",".jpg","71122","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/frame/zmr250_carbon_fiber_frame/renders/Unbenannt.jpg","cad",".jpg","122288","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/lidar/.gitkeep","cad",".gitkeep","2","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/lidar/rplidar_a2m12/cad/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/lidar/rplidar_a2m12/cad/LIDAR.STEP","cad",".step","622034","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/lidar/rplidar_a2m12/image/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/lidar/rplidar_a2m12/image/LIDAR.png","cad",".png","627473","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/motors/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/motors/racerstar_br2205_2300kv/cad/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/motors/racerstar_br2205_2300kv/cad/Racerstar-BR2205-2300KV.SLDPRT","cad",".sldprt","456908","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/motors/racerstar_br2205_2300kv/cad/Racerstar-BR2205-2300KV.STEP","cad",".step","795454","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/motors/racerstar_br2205_2300kv/image/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/motors/racerstar_br2205_2300kv/image/RacerStar-BR2205-2300KV.JPG","cad",".jpg","261611","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/battery/lithium_polymer_3S/cad/LiPo 3S v1.f3z","cad",".f3z","868082","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/battery/lithium_polymer_3S/cad/LiPo 3S v1.iges","cad",".iges","761698","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/battery/lithium_polymer_3S/image/1178px-Check_mark_23x20_04.svg.png","cad",".png","167075","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/esc/exceed_rc_proton_30a_esc/cad/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/esc/exceed_rc_proton_30a_esc/cad/30A ESC.SLDPRT","cad",".sldprt","343963","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/esc/exceed_rc_proton_30a_esc/image/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/esc/exceed_rc_proton_30a_esc/image/ESC View 1.jpg","cad",".jpg","41169","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/esc/exceed_rc_proton_30a_esc/image/ESC View 2.jpg","cad",".jpg","71813","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/power/esc/exceed_rc_proton_30a_esc/image/ESC View 3.jpg","cad",".jpg","73673","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/receiver/flysky_fs_ia6/cad/Flysky FS-iA6 Receiver.stp","cad",".stp","670123","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/components/receiver/flysky_fs_ia6/image/Flysky FS-iA6 Receiver.png","cad",".png","557526","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/mesh/files/25MM-LANDING-SKID.SLDPRT","cad",".sldprt","206394","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/mesh/files/25MM-LANDING-SKID.STL","cad",".stl","272184","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/mesh/images/e516cfce-1fbc-45e2-8a7d-ae5b79c4aabb.png","cad",".png","227320","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/mesh/images/fdbe9a9d-ef25-421b-b67c-56cc46743473.jpeg","cad",".jpeg","79989","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/mesh/LICENSE.txt","cad",".txt","110","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/mesh/README.txt","cad",".txt","332","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/drone_landing_legs/reference/Drone Landing skid - 5559311.zip","cad",".zip","787328","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/files/Autopilot_Navio2_case_bottom.stl","cad",".stl","798961","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/files/Autopilot_Navio2_case_top.stl","cad",".stl","1300419","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/files/Pins_cap.stl","cad",".stl","7857","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/files/Vibro_Navio2_adapter_for_case.stl","cad",".stl","1357356","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/images/3825b6d7cc6a70b39a079ab9b32245da.png","cad",".png","345438","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/images/56825e95700ae4ce8fa5057630bdfd91.png","cad",".png","272126","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/images/63a2b9e0dc9b49da37ed0ce00ec6b149.png","cad",".png","252875","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/images/71c41de922b2912b67725ea1b68c600b.png","cad",".png","318318","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/images/IMG_20160705_194547.jpg","cad",".jpg","1043457","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/LICENSE.txt","cad",".txt","136","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/mesh/README.txt","cad",".txt","943","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/custom/navio_autopilot_case/reference/original_navio2_case_download.zip","cad",".zip","5699625","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/exports/gazebo/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cad/exports/meshes/.gitkeep","cad",".gitkeep","0","projects/shadow/cad","high","Existing CAD content appears to describe Shadow hardware and assemblies."
"cv/face_detection/3.py","cv",".py","2","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/object_tracking/2.py","cv",".py","2","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/opencv_basics/code/webcam_test.py","cv",".py","2","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/opencv_basics/lessons/lesson_01_read_images.py","cv",".py","2","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/opencv_basics/notes/image_processing_notes.md","cv",".md","2","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/pipeline/pipeline_01_video_test.py","cv",".py","363","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/pipeline/pipeline_02_processing.py","cv",".py","463","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"cv/pipeline/pipeline_live_stream.py","cv",".py","320","projects/shadow/perception/computer_vision","medium","Likely implementation or prototype for Shadow perception."
"data/hardware/bags/.gitkeep","data",".gitkeep","0","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/hardware/camera/.mp4","data",".mp4","2","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/hardware/logs/.gitkeep","data",".gitkeep","0","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/hardware/results/.gitkeep","data",".gitkeep","0","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/hardware/results/CAMERA_TEST_001_SETUP_2026-04-11_04-05-55.txt","data",".txt","172","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/hardware/results/LIDAR_TEST_001_setup_2026-04-11_04-01-13.txt","data",".txt","140","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/README.md","data",".md","57","REVIEW:data","low","Data must be separated by ownership and lifecycle."
"data/simulation/bags/.gitkeep","data",".gitkeep","0","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/simulation/camera/Video.mov","data",".mov","7050639","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/simulation/logs/.gitkeep","data",".gitkeep","0","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/simulation/results/.gitkeep","data",".gitkeep","0","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"data/simulation/stream/drone_stream_server.py","data",".py","854","projects/shadow/data","medium","Likely Shadow simulation, hardware, telemetry, camera, or mission data."
"database/zerogravity_rnd.db","database",".db","24576","lab/database/zerogravity_rnd.db","high","Long-term R&D and experiment database."
"docs/component_library/Battary_FCONEGY_1500mAh_3S/info.md","docs",".md","528","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/Compute_Navio2/info.md","docs",".md","1168","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/Compute_Pi_Navio2_Stack/info.md","docs",".md","481","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/Compute_Raspberry_Pi_3B/info.md","docs",".md","1195","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/ESC_XXD_30A/info.md","docs",".md","468","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/Frame_ZMR250_QAV250_Carbon Fiber/info.md","docs",".md","781","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/Motor_Racerstar_BR2205_2300KV/info.md","docs",".md","350","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"docs/component_library/Sensor_RPi_Camera_OV5647_5MP/info.md","docs",".md","628","projects/shadow/docs","medium","Documentation appears Shadow-specific."
"docs/component_library/Sensor_RPLIDAR_A2M12/info.md","docs",".md","411","projects/shadow/docs","medium","Documentation appears Shadow-specific."
"docs/measurements/shadow_measurements.md","docs",".md","474","projects/shadow/docs","medium","Documentation appears Shadow-specific."
"docs/shadow_system_architecture.md","docs",".md","7949","projects/shadow/docs","medium","Documentation appears Shadow-specific."
"docs/system_overview.md","docs",".md","517","REVIEW:docs","low","Could be project, Lab, or repository-level documentation."
"experiments_archive/13.md","experiments_archive",".md","2","lab/archive/experiments","high","Archived experiments are Lab records rather than project runtime assets."
"sensors/imu_tests/12.md","sensors",".md","2","projects/shadow/hardware/sensors","medium","Sensor material is likely tied to Shadow hardware testing."
"sensors/lidar_tests/10.md","sensors",".md","2","projects/shadow/hardware/sensors","medium","Sensor material is likely tied to Shadow hardware testing."
"urdf/shadow_drone.urdf","urdf",".urdf","231","projects/shadow/simulation/urdf","high","URDF is the Shadow robot simulation model."
